date,file_number_start,file_number_end,group
19_9_23,0,39,NT
19_9_23,40,70,C99
20_9_23,0,29,Poly A
20_9_23,30,62,C99+ FL
20_9_23,63,101,MT5G
21_9_23,1,22,C99 CP
21_9_23,24,60,C99 + D6
26_3_24,0,30,NT
26_3_24,31,56,C99
26_3_24,57,83,C99 + FL
26_3_24,84,110,C99 CP
27_3_24,0,35,MT5G
27_3_24,36,64,Poly A
27_3_24,65,77,Pedro
28_3_24,0,34,C99 CP
28_3_24,36,69,C99+ FL
28_3_24,70,90,C99 CP
29_4_24,0,20,NT
29_4_24,21,49,Poly A
30_4_24,0,12,C99+ FL
30_4_24,13,54,C99 CP
30_4_24,55,78,C99+ FL
1_5_24,0,32,C99
1_5_24,33,59,MT5G
2_5_24,0,42,MT5G
2_5_24,43,81,C99
13_5_24,0,22,NT
13_5_24,24,40,Poly A
13_5_24,43,64,C99
13_5_24,65,83,MT5G
13_5_24,84,102,C99+ FL
14_5_24,0,9998,C99 CP
16_5_24,0,32,NT
16_5_24,33,60,Poly A
16_5_24,61,85,C99
16_5_24,86,116,C99+ FL
17_5_24,0,36,C99 CP
17_5_24,39,61,MT5G
17_5_24,62,69,TEST
